time,start,end,count,diff
28446.661452,2067057477,2067058591,15966,1114
28446.673466,2067066308,2067067416,15602,1108
28446.685500,2067075152,2067076256,15940,1104
28446.697522,2067083997,2067085111,15918,1114
28446.709534,2067092844,2067093956,15671,1112
28446.721569,2067101700,2067102805,15946,1105
28446.736586,2067112783,2067113890,15676,1107
28446.748620,2067121633,2067122742,15909,1109
28446.775671,2067141515,2067142625,16020,1110
28446.787692,2067150356,2067151465,15977,1109
28446.805728,2067163652,2067164766,16067,1114
28446.817743,2067172511,2067173623,15599,1112
28446.841795,2067190221,2067191335,15974,1114
28446.853810,2067199056,2067200168,15682,1112
28446.877863,2067216773,2067217887,15974,1114
28446.889878,2067225606,2067226712,15603,1106
28446.913932,2067243297,2067244405,15966,1108
28446.925946,2067252125,2067253238,15598,1113
28446.950001,2067269831,2067270940,15972,1109
28446.960328,2067278689,2067279800,15842,1111
28446.974049,2067287537,2067288644,15941,1107
28446.986071,2067296407,2067297518,15992,1111
28446.998086,2067305272,2067306390,15827,1118
28447.013121,2067316340,2067317449,15967,1109
28447.025135,2067325224,2067326332,15598,1108
28447.041182,2067338554,2067339665,15899,1111
28447.058209,2067349622,2067350737,15949,1115
28447.070223,2067358444,2067359551,15675,1107
28447.112309,2067389408,2067390519,16049,1111
28447.124324,2067398224,2067399332,15600,1108
28447.136357,2067407073,2067408160,15768,1087
28447.148378,2067415899,2067417009,16055,1110
28447.160392,2067424734,2067425846,15640,1112
28447.193465,2067449081,2067450187,15907,1106
28447.205478,2067457944,2067459042,15598,1098
28447.217512,2067466784,2067467898,15941,1114
28447.229532,2067475704,2067476813,15970,1109
28447.260596,2067500024,2067501138,15931,1114
28447.277617,2067511077,2067512189,15602,1112
28447.289649,2067519921,2067521028,15940,1107
28447.304667,2067530990,2067532092,15604,1102
28447.316700,2067539833,2067540937,15938,1104
28447.331718,2067550867,2067551973,15595,1106
28447.343751,2067559712,2067560818,15905,1106
28447.355772,2067568573,2067569686,15971,1113
28447.367787,2067577408,2067578515,15607,1107
28447.388837,2067592916,2067594030,15931,1114
28447.400859,2067601814,2067602932,15957,1118
28447.415889,2067612858,2067613972,15932,1114
28447.427908,2067621721,2067622830,15958,1109
28447.439930,2067630556,2067631666,15686,1110
28447.460973,2067646055,2067647160,16002,1105
28447.472996,2067654908,2067656019,15975,1111
28447.485010,2067663751,2067664862,15618,1111
28447.500048,2067674865,2067675979,15979,1114
28447.512063,2067683759,2067684874,15837,1115
28447.524093,2067692615,2067693725,15936,1110
28447.536116,2067701465,2067702571,16058,1106
28447.548129,2067710284,2067711391,15616,1107
28447.566164,2067723562,2067724664,15691,1102
28447.578196,2067732422,2067733530,15922,1108
28447.590221,2067741291,2067742405,15917,1114
28447.605247,2067752394,2067753510,16016,1116
28447.617270,2067761262,2067762376,15943,1114
28447.629281,2067770111,2067771219,15564,1108
28447.641317,2067778979,2067780096,15902,1117
28447.677388,2067805544,2067806657,15955,1113
28447.689411,2067814400,2067815510,15915,1110
28447.719455,2067836524,2067837636,15600,1112
