time,start,end,count,diff
29171.350124,2615414331,2615414924,8987,593
29171.362152,2615418202,2615418785,8888,583
29171.374174,2615422074,2615422682,9239,608
29171.386192,2615425966,2615426564,8944,598
29171.398221,2615429837,2615430420,8901,583
29171.410239,2615433684,2615434291,9204,607
29171.422261,2615437558,2615438163,9001,605
29171.434290,2615441435,2615442016,8881,581
29171.446312,2615445305,2615445908,9236,603
29171.458323,2615449345,2615449947,11806,602
29171.470359,2615453373,2615453976,12029,603
29171.482380,2615457285,2615457889,9231,604
29171.494400,2615461219,2615461823,8973,604
29171.506428,2615465094,2615465678,8891,584
29171.518449,2615468983,2615469592,9065,609
29171.530469,2615472897,2615473501,8958,604
29171.542496,2615476783,2615477362,8901,579
29171.554518,2615480789,2615481397,12103,608
29171.566542,2615484695,2615485299,8986,604
29171.578565,2615488571,2615489155,8942,584
29171.590587,2615492439,2615493047,9238,608
29171.602606,2615496347,2615496957,8981,610
29171.614633,2615500237,2615500821,8891,584
29171.626656,2615504264,2615504868,12087,604
29171.638674,2615508157,2615508761,9007,604
29171.650702,2615511992,2615512573,8879,581
29171.662725,2615515863,2615516467,9231,604
29171.674741,2615519888,2615520490,11825,602
29171.686770,2615523916,2615524520,12060,604
29171.698791,2615527996,2615528600,9266,604
29171.710810,2615531889,2615532488,8984,599
29171.722842,2615535792,2615536371,8962,579
29171.733351,2615539321,2615539929,12031,608
29171.749890,2615544590,2615545168,8919,578
29171.761918,2615548726,2615549185,7641,459
29171.773937,2615552543,2615553152,8865,609
29171.785960,2615556483,2615557098,8878,615
29171.796478,2615560116,2615560736,12077,620
29171.808500,2615564183,2615564797,12041,614
29171.822028,2615568595,2615569173,11928,578
29171.834051,2615572433,2615573034,9264,601
29171.846059,2615576321,2615576923,8852,602
29171.865608,2615582539,2615583131,9081,592
29171.879136,2615586916,2615587524,9232,608
29171.891152,2615591035,2615591636,11855,601
29171.901676,2615594725,2615595327,12077,602
29171.918206,2615600062,2615600671,8960,609
29171.930231,2615604079,2615604658,11918,579
29171.942253,2615607912,2615608520,9189,608
29171.954271,2615611972,2615612576,11991,604
29171.966302,2615615823,2615616421,8928,598
29171.978324,2615619711,2615620315,9210,604
29172.014394,2615630975,2615631578,9062,603
29172.026410,2615634837,2615635440,8968,603
29172.038438,2615638678,2615639261,8870,583
29172.050460,2615642579,2615643180,9234,601
29172.062479,2615646411,2615647023,8930,612
29172.074504,2615650414,2615650998,11925,584
29172.086527,2615654423,2615655025,12097,602
29172.098542,2615658253,2615658844,8830,591
29172.110577,2615662136,2615662720,8896,584
29172.122600,2615666013,2615666621,9240,608
29172.134611,2615669849,2615670455,8882,606
29172.146645,2615673726,2615674309,8921,583
29172.172193,2615681852,2615682461,9228,609
29172.206752,2615692779,2615693381,11848,602
29172.218781,2615696665,2615697268,8906,603
29172.230805,2615700565,2615701163,9242,598
29172.242814,2615704414,2615705010,8869,596
29172.254850,2615708233,2615708837,8940,604
29172.266872,2615712144,2615712745,9204,601
29172.278883,2615715960,2615716557,8894,597
29172.290918,2615720001,2615720604,12081,603
29172.302939,2615724049,2615724648,12088,599
29172.314956,2615728037,2615728635,11974,598
29172.326986,2615731909,2615732517,8880,608
